"CityName","Locality","CityTownName","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"臺中市","西區","臺中市西區","99559",102233,103824,105392,107369,108566,109716,110432,113332,113049,111233,112308,111749,110793,109797,109576,110061,109966,111197,112650,113768,114883,115561,116401,116676,116156,116812,117325,117390,117365,117210,116784,116397,115731,115693,115747,115627,115698,115273
"臺中市","北區","臺中市北區","109360",109927,111996,116150,120211,124020,127973,131627,135040,139157,141110,143194,143735,143746,144632,145115,146634,145067,146265,148037,148225,148367,147928,147249,146787,146665,147469,147721,147529,147639,147679,147798,147880,147471,147547,147585,147653,147557,147391
"臺中市","西屯區","臺中市西屯區","72552",75827,78775,83430,88064,93768,100466,105655,109307,113656,117068,122274,127655,134364,141324,148426,156957,161594,166736,173071,177288,181513,184926,188656,192996,195444,197900,201333,203680,206536,209672,212750,215485,218540,221785,224601,227043,228630,230501
"臺中市","南屯區","臺中市南屯區","43145",45227,47433,48970,50832,53080,56112,58420,60385,62442,65100,71511,78958,81272,89093,96765,103579,109853,116666,123287,127769,132001,135899,138674,139808,143597,145983,148206,150884,153779,155768,158300,159952,161906,164575,166685,168760,170618,173532
"臺中市","北屯區","臺中市北屯區","98814",102126,107233,113767,120535,127724,134331,140197,145012,150373,157717,164329,172893,181638,188324,194849,200407,205322,210441,216295,221815,223071,226285,230078,232803,236669,239618,241990,244311,246880,249742,252668,255978,259742,265159,270547,274819,279297,283621
"臺中市","豐原區","臺中市豐原區","128944",131955,134610,137084,139747,142552,144434,147372,149506,151642,154175,155959,156906,157548,158315,158847,159580,160256,161032,161104,161589,162115,162828,163228,163746,164051,164619,165238,165245,165433,165609,166085,166090,166458,166749,166778,166879,167025,166875
"臺中市","東勢區","臺中市東勢區","60143",60364,60396,61132,61329,61256,61161,60956,60882,61085,61237,61499,61157,60753,60612,60462,60043,59647,58560,57858,57410,57105,56762,56230,55681,55259,54790,54201,53696,53259,52780,52403,51953,51485,51308,50952,50714,50256,49773
"臺中市","大甲區","臺中市大甲區","65498",66399,67399,68385,68682,70040,70852,71798,72584,73562,74542,75298,76069,76783,77287,77713,77945,78013,78059,78406,78483,78809,79303,79643,79636,79496,79264,78917,78707,78387,78118,77986,77847,77607,77714,77656,77761,77625,76822
"臺中市","清水區","臺中市清水區","76954",78080,78861,79399,79904,80140,80655,81202,81356,82204,82890,83827,84302,84368,84284,84276,84503,84624,84754,85135,85038,85331,85560,85700,85572,85728,85948,85770,85743,85620,85629,85734,86061,85957,86146,86350,86420,86862,87587
"臺中市","沙鹿區","臺中市沙鹿區","58102",59681,61246,62588,63380,64367,65321,66375,67179,68352,69117,69911,69925,70505,70741,70760,71149,71689,71781,72486,73069,73631,74353,75043,75862,77273,78436,79553,80640,81534,83238,84797,86305,87742,89592,91338,92645,94079,94755
"臺中市","梧棲區","臺中市梧棲區","34053",35008,35888,37041,38077,38977,39803,40815,41682,42710,43307,44086,45421,46702,47367,48026,48598,49365,49572,50127,50678,51137,51810,52378,53166,53723,54195,54748,54943,55262,55544,55857,56008,56643,57108,57645,57993,58218,58921
